task,method,seed,stage_idx,lambda,iter,stage_type,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_true,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_pcgrad_normalize,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
md_knapsack,fpto,11,0,0.0,0,train,1.0,0.0,0.0005,0.0,4.03856381053856,0.09351166116141349,1e-06,0.9419437646763729,0.28522147793510105,0.9419437646763729,0.0004709718823379167,0.0,0.0,-0.3869058336681146,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,0,0.0,5,train,1.0,0.0,0.0004987531172069826,0.0,4.036347158339872,0.0937713534672069,1e-06,0.9422871017769104,0.285597956384445,0.9422871017769104,0.00046996862931488874,0.0,0.0,-0.3865221068768533,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,0,0.0,10,train,1.0,0.0,0.0004975124378109454,0.0,4.034134698157609,0.094030815479942,1e-06,0.9424831421853245,0.28592094834506826,0.9424831421853245,0.0004688970856640704,0.0,0.0,-0.3869202745443025,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,0,0.0,15,train,1.0,0.0,0.0004962779156327543,0.0,4.031926693076563,0.09428997755912619,1e-06,0.9426031019984655,0.2863339523580354,0.9426031019984655,0.0004677931027284933,0.0,0.0,-0.38606328068840884,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,0,0.0,20,train,1.0,0.0,0.0004950495049504951,0.0,4.029723660189496,0.09454819216711076,1e-06,0.9425917449209167,0.2861761010390967,0.9425917449209167,0.0004666295766932607,0.0,0.0,-0.3847198584363852,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,0,0.0,25,train,1.0,0.0,0.0004938271604938272,0.0,4.027526101721569,0.09480349897438964,1e-06,0.9424380982623252,0.28637285362719456,0.9424380982623252,0.000465401530005826,0.0,0.0,-0.38055870876476505,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,1,0.5,0,train,1.0,0.5,0.0005,0.0,4.03856381053856,0.09351166116141349,1e-06,0.9419437646763729,0.28522147793510105,0.8964645861826931,0.0004482322930910627,0.0,0.0,-0.3869058336681146,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,1,0.5,5,train,1.0,0.5,0.0004987531172069826,0.0,4.036476975013884,0.09366957426631542,1e-06,0.942281038721704,0.2855666432844209,0.8968428193417023,0.00044730315179109876,0.0,0.0,-0.38632388926783234,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,1,0.5,10,train,1.0,0.5,0.0004975124378109454,0.0,4.034394298940709,0.09382719170411562,1e-06,0.9424841653983322,0.2858318008040883,0.8969794265287269,0.0004462584211582893,0.0,0.0,-0.3865344397150312,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,1,0.5,15,train,1.0,0.5,0.0004962779156327543,0.0,4.032315863667991,0.09398423245723467,1e-06,0.9426877161888277,0.28629094260098714,0.8972399637084018,0.00044528037901134124,0.0,0.0,-0.38576427989103074,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
md_knapsack,fpto,11,1,0.5,20,train,1.0,0.5,0.0004950495049504951,0.0,4.030240772777308,0.09413974701621633,1e-06,0.9431042216851305,0.2869319492138257,0.897980023088891,0.0004445445658853184,0.0,0.0,-0.3830648851623714,0,0.0,0,0,0,cpu,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
