task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_cagrad_c,mo_cagrad_g0_norm,mo_cagrad_gw_norm,mo_cagrad_direction_norm,mo_cagrad_w_decision_regret,mo_cagrad_w_pred_fairness,mo_cagrad_w_pred_loss,mo_method,method_label,alpha_fair,hidden_dim,config_name
medical_resource_allocation,cagrad,11,0,0.0,0,1.0,0.0,0.0005,78.3133876700449,396.543893110937,124.9477233876997,0.006176144596182557,20.013496791442556,6.795162974097324,8.741118673858757,0.004370559336929359,0.6000411743601664,0.844440583539917,0.8826525969419605,2,27.118281000070965,0,0,0,cuda,0.0758808594357491,0.08211155478223033,0.006176144596182557,6.795162974097324,20.013496791442556,0.844440583539917,0.6000411743601664,0.8826525969419605,0.6777064715897604,0.006176144596182557,0.5,8.736934241000212,0.006176144628376234,8.741118673858757,0.9999999999963172,0.0,2.682707200829653e-12,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,5,0.4082482904638631,0.0,0.0004987531172069826,77.86988450808906,396.1000126790291,124.80498212443068,0.006065317313161535,20.511297958238764,7.052216513292127,17.965945304949962,0.008960571224413929,0.5998775790033173,0.8434593084381552,0.8834269760353755,2,28.982217000020682,0,0,0,cuda,0.07545113212994702,0.08160859285217557,0.006065317313161535,7.052216513292127,20.511297958238764,0.8434593084381552,0.5998775790033173,0.8834269760353755,0.6775259314947587,0.006065317313161535,0.5,8.982972652475024,8.982972652475022,17.965945304949962,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,10,0.30151134457776363,0.0,0.0004975124378109454,77.15538308045006,395.34109821453796,124.55614355645571,0.00592477874141405,21.405501352101254,7.540701833721398,9.436001543788747,0.004694528131238158,0.5999062748313585,0.8423813495205491,0.8839933440239961,2,30.038470000022244,0,0,0,cuda,0.0747588241605134,0.08079928359509453,0.00592477874141405,7.540701833721398,21.405501352101254,0.8423813495205491,0.5999062748313585,0.8839933440239961,0.6788588785740591,0.00592477874141405,0.5,9.431980458241165,0.00592477889786566,9.436001543788747,0.9999999999743462,2.465365053367625e-11,0.0,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,15,0.25,0.0,0.0004962779156327543,76.6993912740702,394.8290367060724,124.38457853355104,0.005862150774676388,22.039639720324644,7.9040401079312685,9.758657032118075,0.004843005971274457,0.6005225094399061,0.8424959725470593,0.8838274674092289,2,39.30265600001803,0,0,0,cuda,0.07431699612582861,0.08028341863769442,0.005862150774676388,7.9040401079312685,22.039639720324644,0.8424959725470593,0.6005225094399061,0.8838274674092289,0.6803487490321025,0.005862150774676388,0.5,9.754669671290202,0.005862150776990612,9.758657032118075,0.9999999999988245,0.0,1.753730214012387e-13,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,76.23423269859654,394.2840022148355,124.19817903537285,0.005797417081958275,22.740086387235422,8.322286103091816,20.2321252046695,0.01001590356666806,0.6015336987688835,0.8430791383153687,0.8834911788611438,2,27.840960000048653,0,0,0,cuda,0.07386628605529043,0.07975769043183786,0.005797417081958275,8.322286103091816,22.740086387235422,0.8430791383153687,0.6015336987688835,0.8834911788611438,0.6821188671980836,0.005797417081958275,0.5,10.116062602334786,10.116062602334786,20.2321252046695,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,25,0.19611613513818404,0.0,0.0004938271604938272,75.56472627615096,393.4576460387368,123.9075562064876,0.005757172005806425,23.843938925463068,9.03464164447504,10.704057291014635,0.005285954217784979,0.6023329195293226,0.8443775146524307,0.8820385787878428,2,41.83091200002309,0,0,0,cuda,0.07321757548045271,0.07900190329829505,0.005757172005806425,9.03464164447504,23.843938925463068,0.8443775146524307,0.6023329195293226,0.8820385787878428,0.6855240554258251,0.005757172005806425,0.5,10.70011143200437,0.005757172048289224,10.704057291014635,0.9999999999960403,0.0,2.959589729125693e-12,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,30,0.1796053020267749,0.0,0.0004926108374384237,74.96585158163919,392.67698049634066,123.62404658034598,0.005722671292895421,24.924477799517593,9.718734897414292,11.274419929299796,0.005553901443004806,0.6032348316210429,0.8446323691097313,0.8819243786680738,2,28.61510399998224,0,0,0,cuda,0.07263730270888855,0.07832674628930728,0.005722671292895421,9.718734897414292,24.924477799517593,0.8446323691097313,0.6032348316210429,0.8819243786680738,0.6878982711990165,0.005722671292895421,0.5,11.270484078831707,0.005722671379340191,11.274419929299796,0.9999999999932478,0.0,5.752019129533051e-12,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,35,0.16666666666666666,0.0,0.0004914004914004914,74.33868283706806,391.81590440904716,123.30097991929912,0.005709863611935437,26.17000095602641,10.549190330914186,23.879228659031575,0.011734264697312797,0.6044088935602167,0.8453453872459608,0.8812050478808378,2,28.045224999914353,0,0,0,cuda,0.07202961474179656,0.07762059639624669,0.005709863611935437,10.549190330914186,26.17000095602641,0.8453453872459608,0.6044088935602167,0.8812050478808378,0.6907202608174571,0.005709863611935437,0.5,11.93961432951582,11.93961432951582,23.879228659031575,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,40,0.15617376188860607,0.0,0.0004901960784313725,73.56412899186762,390.6875200687126,122.86130741596646,0.0057008377846718165,27.86038724776863,11.696295131290986,12.859059958475967,0.0063034607639587915,0.6066226135796284,0.8456006847469206,0.8806943183532964,2,25.900713999931213,0,0,0,cuda,0.07127911967062554,0.0767497761494779,0.0057008377846718165,11.696295131290986,27.86038724776863,0.8456006847469206,0.6066226135796284,0.8806943183532964,0.6950725671631865,0.0057008377846718165,0.5,12.855098115888275,0.005700837784668842,12.859059958475967,0.9999999999989997,0.0,1.6141033737094135e-16,cagrad,FDFL-CAGrad,0.5,64,CAGrad
medical_resource_allocation,cagrad,11,0,0.0,45,0.14744195615489714,0.0,0.000488997555012225,72.48088820884936,388.9826834191806,122.16262248882023,0.005748833260057994,30.5329042302249,13.550602008759608,28.631636799784502,0.014000800391092662,0.6092148146478019,0.8462584372946419,0.8800967423765919,2,27.828014000078838,0,0,0,cuda,0.07022952592890672,0.07553426129074599,0.005748833260057994,13.550602008759608,30.5329042302249,0.8462584372946419,0.6092148146478019,0.8800967423765919,0.7002547081065009,0.005748833260057994,0.5,14.315818399892278,14.315818399892278,28.631636799784502,0.3333333333333333,0.3333333333333333,0.3333333333333333,cagrad,FDFL-CAGrad,0.5,64,CAGrad
