task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_true,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,pcgrad,44,0,0.0,0,1.0,0.0,0.0002,0.0,2.026340835840221,0.6279065556002235,81.60373674647408,2.8854068050379205,2.801529145705907,81.99164775504082,0.013850533375967816,0.09315007911647409,-0.07473736964720648,0.12783653957385105,96,262.5301049997688,0,0,0,cpu,0.0,0.0,81.60373674647408,2.801529145705907,2.8854068050379205,-0.07473736964720648,0.09315007911647409,0.12783653957385105,0.9929877364682477,2.1354674210980846,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,2,1.0,0.0,0.0006000000000000001,0.0,2.820425053924605,0.7795567113182675,180.5082621745264,4.751942146004991,4.3607066012816125,181.54152946945328,0.02575299123260994,0.1660817068552364,-0.03100556938245456,0.3164091927220571,96,276.69184200021846,0,0,0,cpu,0.0,0.0,180.5082621745264,4.3607066012816125,4.751942146004991,-0.03100556938245456,0.1660817068552364,0.3164091927220571,0.9976997692537781,3.6834949192658932,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,4,1.0,0.0,0.001,0.0,2.622196687215312,0.6065758765747712,110.23345674046563,4.5049345362243685,4.234574405607836,110.51927882435832,0.034545347659740794,0.14279756688927853,-0.16400121854068211,0.30080169205792656,96,322.39348400025847,0,0,0,cpu,0.0,0.0,110.23345674046563,4.234574405607836,4.5049345362243685,-0.16400121854068211,0.14279756688927853,0.30080169205792656,0.9764076319374145,3.5204172570879186,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,6,1.0,0.0,0.0009995002498750627,0.0,2.5948634019595076,0.5637239499263845,155.9130102138642,5.1118524884564485,5.304548510028741,157.0765571242911,0.031151612618663598,0.031756836761314106,0.15182512221898664,-0.023469025257466924,96,418.46198499979437,0,0,0,cpu,0.0,0.0,155.9130102138642,5.304548510028741,5.1118524884564485,0.15182512221898664,0.031756836761314106,-0.023469025257466924,0.9988943038824344,3.6399345914101966,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,8,1.0,0.0,0.0009985022466300548,0.0,2.602997780187376,0.10214797488892786,137.8315836214375,5.0594892472344055,6.5450790329338995,126.95764444630946,0.029164638966846713,0.32701280610371436,-0.44871512319606044,-0.47042576151841153,96,451.41185300008146,0,0,0,cpu,0.0,0.0,137.8315836214375,6.5450790329338995,5.0594892472344055,-0.44871512319606044,0.32701280610371436,-0.47042576151841153,0.8771364218864793,2.9320349011978917,4.0,0.6666666666666666,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,10,1.0,0.0,0.0009975062344139652,0.0,1.7231281878631166,0.3924984613744944,93.7507381996811,3.278068588947787,2.922132844824671,90.89714354677487,0.028931082177576114,0.24961284093769182,-0.3239026308507159,0.2885834369763314,96,431.14363600034267,0,0,0,cpu,0.0,0.0,93.7507381996811,2.922132844824671,3.278068588947787,-0.3239026308507159,0.24961284093769182,0.2885834369763314,0.9321890627913137,2.4730267891630775,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,12,1.0,0.0,0.000996512207274539,0.0,3.2929972473130653,1.0084950131668455,81.75539828417264,7.511040260725908,5.7811412321480145,84.40164578934207,0.026854902011044308,0.17029407828142856,-0.08011844767161798,0.5797661430182638,96,441.9847170001958,0,0,0,cpu,0.0,0.0,81.75539828417264,5.7811412321480145,7.511040260725908,-0.08011844767161798,0.17029407828142856,0.5797661430182638,0.977584004396759,5.630317475146206,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,14,1.0,0.0,0.0009955201592832255,0.0,1.5992811862407699,0.29753274640197236,97.71834399695986,3.1661835546978847,3.425284443410396,93.89419462039625,0.02476542381156934,0.28102572431586953,-0.3450323586500903,0.017759850639586128,96,397.6713850001943,0,0,0,cpu,0.0,0.0,97.71834399695986,3.425284443410396,3.1661835546978847,-0.3450323586500903,0.28102572431586953,0.017759850639586128,0.9263087624911759,2.350037872953145,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,16,1.0,0.0,0.000994530084535057,0.0,3.0653608177978877,0.6737504154117389,121.0926846622433,6.427578452504135,7.088808096678934,123.78098891889995,0.022984936567324383,0.32508679104079824,0.017058101420018283,-0.04676393742120956,96,286.3701710002715,0,0,0,cpu,0.0,0.0,121.0926846622433,7.088808096678934,6.427578452504135,0.017058101420018283,0.32508679104079824,-0.04676393742120956,0.9970515017295218,4.65579107227995,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
md_knapsack,pcgrad,44,0,0.0,18,1.0,0.0,0.0009935419771485345,0.0,2.194408750779865,0.501433493251493,99.40525168986876,3.942536457544001,3.9534750494176163,100.04056892927994,0.022805044675679165,0.0926832734239034,0.024342632777500733,0.12054812735350162,96,309.47861799995735,0,0,0,cpu,0.0,0.0,99.40525168986876,3.9534750494176163,3.942536457544001,0.024342632777500733,0.0926832734239034,0.12054812735350162,0.9982639836471467,2.955142060205679,0.0,0.0,pcgrad,FDFL-PCGrad,2.0,high,0.6,0.75,PCGrad
