task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_true,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,pcgrad,55,0,0.0,0,1.0,0.0,0.0002,0.0,1.9328788488513016,0.3965114383656344,1.6621151154441736,2.9895112882755437,2.7058776039189723,5.679866962531211,0.013915293026692413,0.4569461944201109,0.336312067481982,0.35065952643801296,96,325.54956399962975,0,0,0,cpu,0.0,0.0,1.6621151154441736,2.7058776039189723,2.9895112882755437,0.336312067481982,0.4569461944201109,0.35065952643801296,0.6933578267067809,1.596725060946673,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,2,1.0,0.0,0.0006000000000000001,0.0,2.9128265847259667,0.1985765331983137,2.2956421001314498,2.1195311881481103,2.063633807461095,4.373370286160594,0.02900009155979872,0.19424548216964385,-0.07185642185803547,0.26091689779250726,96,340.72858200033806,0,0,0,cpu,0.0,0.0,2.2956421001314498,2.063633807461095,2.1195311881481103,-0.07185642185803547,0.19424548216964385,0.26091689779250726,0.6163434807441245,1.3822932827785832,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,4,1.0,0.0,0.001,0.0,2.069724385080155,0.03707953881522722,2.003643658967888,3.010415929471903,3.1292683098993765,5.968433442481319,0.04143620964043114,0.5445283248601726,0.06396396824315827,0.28563612114185793,96,336.3357840007666,0,0,0,cpu,0.0,0.0,2.003643658967888,3.1292683098993765,3.010415929471903,0.06396396824315827,0.5445283248601726,0.28563612114185793,0.643897742684066,1.7353173061754406,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,6,1.0,0.0,0.0009995002498750627,0.0,1.8817925049558077,0.21485434733660813,1.4620754448582725,2.5085295136930568,2.526175582383275,4.505415568818016,0.03767556411687098,0.4247657040404236,0.1909263272582234,0.07579883830966602,96,327.5771850003366,0,0,0,cpu,0.0,0.0,1.4620754448582725,2.526175582383275,2.5085295136930568,0.1909263272582234,0.4247657040404236,0.07579883830966602,0.6680684899819472,1.3436242134435217,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,8,1.0,0.0,0.0009985022466300548,0.0,2.029439490495815,0.6981269290060927,1.5334426959052632,2.4526134435235707,2.3613162357556856,4.7835403238717475,0.03569738536083469,0.479980292155484,0.17154465329765461,0.35285286881960176,96,331.58147199992527,0,0,0,cpu,0.0,0.0,1.5334426959052632,2.3613162357556856,2.4526134435235707,0.17154465329765461,0.479980292155484,0.35285286881960176,0.6513418466468622,1.3814550794752818,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,10,1.0,0.0,0.0009975062344139652,0.0,1.7494284478128317,0.6488131735548688,1.4694614312638636,1.9606916271969619,1.930628086056205,3.832768513035483,0.03441204743075465,0.38326893340547313,0.2608317662617578,0.16784260340480994,96,342.0147120004913,0,0,0,cpu,0.0,0.0,1.4694614312638636,1.930628086056205,1.9606916271969619,0.2608317662617578,0.38326893340547313,0.16784260340480994,0.7108445877621757,1.2435719327471688,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,12,1.0,0.0,0.000996512207274539,0.0,1.781166916248475,0.2622273731845488,1.3334420015177169,1.9166155821318016,1.8485635393028073,3.451687704308763,0.033790356838265506,0.30313098426626695,0.02951494008904021,0.1905950453615742,96,337.2599029999037,0,0,0,cpu,0.0,0.0,1.3334420015177169,1.8485635393028073,1.9166155821318016,0.02951494008904021,0.30313098426626695,0.1905950453615742,0.5704420504334367,1.0676512300202357,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,14,1.0,0.0,0.0009955201592832255,0.0,2.076456548871143,0.6397388678977557,2.640922207448916,2.2941613288604774,2.1558094194842385,5.366062117648445,0.03393177433163812,0.46105658726771087,-0.05282126425115865,0.5236054313148167,96,345.292592000078,0,0,0,cpu,0.0,0.0,2.640922207448916,2.1558094194842385,2.2941613288604774,-0.05282126425115865,0.46105658726771087,0.5236054313148167,0.6878958758731725,1.6282767406076875,2.0,0.3333333333333333,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,16,1.0,0.0,0.000994530084535057,0.0,1.7439498176604766,0.5951325094256443,2.0173882200574638,2.113544448761573,1.9619553792164495,4.613065466813245,0.0323858694411373,0.33203019189602845,0.170169826820514,0.5686065407990055,96,331.964656999844,0,0,0,cpu,0.0,0.0,2.0173882200574638,1.9619553792164495,2.113544448761573,0.170169826820514,0.33203019189602845,0.5686065407990055,0.6618190047452054,1.501727998461268,0.0,0.0,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
md_knapsack,pcgrad,55,0,0.0,18,1.0,0.0,0.0009935419771485345,0.0,1.5161717255747145,0.027635312910300178,1.3544266343009996,2.3400109187665965,2.132316623465549,3.8798050893810867,0.030212480583522067,0.13943996129434724,-0.2381369087169684,-0.24517474342166368,96,329.8968409999361,0,0,0,cpu,0.0,0.0,1.3544266343009996,2.132316623465549,2.3400109187665965,-0.2381369087169684,0.13943996129434724,-0.24517474342166368,0.394430146041183,0.9108344189736136,4.0,0.6666666666666666,pcgrad,FDFL-PCGrad,0.5,medium,0.4,0.6,PCGrad
