task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,loss_dec_normalized,loss_dec_normalized_true,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_cagrad_c,mo_cagrad_g0_norm,mo_cagrad_gw_norm,mo_cagrad_direction_norm,mo_cagrad_w_decision_regret,mo_cagrad_w_pred_fairness,mo_cagrad_w_pred_loss,mo_method,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,cagrad,44,0,0.0,0,1.0,0.0,0.0005,0.0,7.385266211536281,1.1590904937840465,2.1371104836680437,0.5371431778405354,0.5045921040411318,0.9770235716283916,0.0004885117858139303,-0.07043465472114409,-0.010653735867299953,0.3222102008791179,96,656.178404000002,0,0,0,cpu,0.0,0.0,2.1371104836680437,0.5045921040411318,0.5371431778405354,-0.010653735867299953,-0.07043465472114409,0.3222102008791179,0.6925986811369377,0.4142539503894492,0.5,0.7527987573119118,0.4232597641968123,0.9770235716283916,0.0,0.509945671287833,0.4900543287111668,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,2,0.5773502691896258,0.0,0.0004995004995004996,0.0,7.324628474572547,1.589626311292185,3.3985319571902917,0.5013319503848955,0.4553978659752489,1.4833051143714302,0.0007409116455400033,0.23151083906490733,0.3241947985605549,0.3160423794725845,96,663.7811460000194,0,0,0,cpu,0.0,0.0,3.3985319571902917,0.4553978659752489,0.5013319503848955,0.3241947985605549,0.23151083906490733,0.3160423794725845,0.9124778157983541,0.38629321916678944,0.5,1.2447866439901756,0.38700152596493465,1.4833051143714302,0.0,0.5281200713583442,0.4718799286406557,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,4,0.4472135954999579,0.0,0.000499001996007984,0.0,9.63056681814493,1.2116304583909763,2.445620049361979,0.5703828857444416,0.550066340729647,1.101199085166533,0.0005495005415000423,0.082824778165762,-0.05604626248872548,0.2386292940961659,96,721.8900079997184,0,0,0,cpu,0.0,0.0,2.445620049361979,0.550066340729647,0.5703828857444416,-0.05604626248872548,0.082824778165762,0.2386292940961659,0.7400349904653867,0.44092197347352224,0.5,0.8717150718988106,0.4534610420382715,1.101199085166533,0.0,0.6787867041810373,0.32121329581796265,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,6,0.3779644730092272,0.0,0.0004985044865403789,0.0,5.37902350668203,1.2082256159364315,2.345163445865499,0.5030789255469046,0.462017547558936,1.1677816881248233,0.0005821444108297054,0.4774730053214202,0.16816449132167657,0.28097232431497005,96,463.56319799997436,0,0,0,cpu,0.0,0.0,2.345163445865499,0.462017547558936,0.5030789255469046,0.16816449132167657,0.4774730053214202,0.28097232431497005,0.8307447337464448,0.3849336364912348,0.5,0.9182117843189868,0.4528738325047827,1.1677816881248233,0.0,0.970800809319559,0.029199190679440826,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,8,0.3333333333333333,0.0,0.00049800796812749,0.0,5.899416441138824,0.9673194953575529,1.5730674626759367,0.41833740185523943,0.35367247051833767,0.8001661271425219,0.00039848910714237985,0.1715646666021777,0.0896933054439011,0.4339181466473671,96,456.51181099992755,0,0,0,cpu,0.0,0.0,1.5730674626759367,0.35367247051833767,0.41833740185523943,0.0896933054439011,0.1715646666021777,0.4339181466473671,0.7434450285568781,0.3217061171770446,0.5,0.5989470251867731,0.33761193582913224,0.8001661271425219,0.0,0.8925423192852352,0.1074576807137647,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,10,0.30151134457776363,0.0,0.0004975124378109454,0.0,5.1729913676512735,1.6220213840518054,1.9837549397144807,0.4002327186407476,0.33547296080122646,0.8395536032332038,0.0004176883598172224,0.10234166633245691,-0.03460840330817987,0.43688233430925116,96,459.75213399970016,0,0,0,cpu,0.0,0.0,1.9837549397144807,0.33547296080122646,0.4002327186407476,-0.03460840330817987,0.10234166633245691,0.43688233430925116,0.7880353732396954,0.30639340203206744,0.5,0.7025175035806661,0.3291702650742461,0.8395536032332038,1.1023456182145894e-16,0.9586643866241487,0.04133561337485125,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,12,0.2773500981126146,0.0,0.0004970178926441352,0.0,5.185784197593426,1.1037946301832322,1.6311127372513632,0.42671927180405606,0.36986736373647144,0.782474105314314,0.00038890363087161055,-0.056781940782246125,0.06753335875467721,0.434156185219218,96,433.88960500033136,0,0,0,cpu,0.0,0.0,1.6311127372513632,0.36986736373647144,0.42671927180405606,0.06753335875467721,-0.056781940782246125,0.434156185219218,0.6988935983343295,0.33278783988294347,0.5,0.588680904937477,0.3348611487560036,0.782474105314314,0.0,0.5515806910616569,0.44841930893734294,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,14,0.2581988897471611,0.0,0.000496524329692155,0.0,6.311267881842161,2.156687262576529,3.22116126041505,0.5163630683222512,0.42042656202337186,1.3316576440917887,0.0006612004191119171,0.07749379537977986,0.13266914868132149,0.5188386992575156,96,434.6301000000494,0,0,0,cpu,0.0,0.0,3.22116126041505,0.42042656202337186,0.5163630683222512,0.13266914868132149,0.07749379537977986,0.5188386992575156,0.8691823646042013,0.3973947818853987,0.5,1.1383061507693437,0.39785451959543455,1.3316576440917887,7.232311410784805e-16,0.7477862136152661,0.25221378638373304,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,16,0.24253562503633297,0.0,0.000496031746031746,0.0,4.078704668183061,1.180101779766313,1.8551450584500324,0.3914868072088791,0.31228695476185714,0.8702219450274479,0.00043165771082682156,0.3502999841557197,0.13566714345437975,0.5345157306115852,96,431.3521919998493,0,0,0,cpu,0.0,0.0,1.8551450584500324,0.31228695476185714,0.3914868072088791,0.13566714345437975,0.3502999841557197,0.5345157306115852,0.8280459215130467,0.2982289121944123,0.5,0.7062466724081986,0.3122869547615448,0.8702219450274479,3.40005801291114e-16,0.9999999999989995,0.0,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,18,0.22941573387056174,0.0,0.000495540138751239,0.0,3.170399861796313,1.1519173537738585,2.1382859161818284,0.340479016994726,0.2670993829988814,0.8958247287615859,0.0004439171103870344,0.2340459390625034,0.13741938960570205,0.5830398827445773,96,431.37055800025337,0,0,0,cpu,0.0,0.0,2.1382859161818284,0.2670993829988814,0.340479016994726,0.13741938960570205,0.2340459390625034,0.5830398827445773,0.87993112500039,0.2592691932274916,0.5,0.7719628898498103,0.26709938299861424,0.8958247287615859,0.0,0.9999999999989998,5.551115123120231e-17,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,20,0.2182178902359924,0.0,0.0004950495049504951,0.0,6.0392109302846935,0.9579156155802249,2.8362449876029503,0.5228807079542666,0.5071520319006717,1.302234920682839,0.0006446707528130955,0.15439954293770214,0.26414656746729026,0.2674116165604118,96,448.36071400004585,0,0,0,cpu,0.0,0.0,2.8362449876029503,0.5071520319006717,0.5228807079542666,0.26414656746729026,0.15439954293770214,0.2674116165604118,0.8605149283349928,0.41000971036764,0.5,1.0506385770452864,0.41371341220888463,1.302234920682839,0.0,0.42983429367254467,0.5701657063264554,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
md_knapsack,cagrad,44,0,0.0,22,0.20851441405707477,0.0,0.0004945598417408507,0.0,4.985818112396804,1.8283320062832593,1.9330204852740758,0.49058779456452484,0.42537843463719016,1.0112405510217068,0.0005001189668749801,0.06054991410663156,0.3447680244492481,0.4413374186365089,96,459.3234230001144,0,0,0,cpu,0.0,0.0,1.9330204852740758,0.42537843463719016,0.49058779456452484,0.3447680244492481,0.06054991410663156,0.4413374186365089,0.7678885591615222,0.38440694417799165,0.5,0.7471587111830782,0.40349109173232706,1.0112405510217068,0.0,0.3735514635160738,0.626448536482926,cagrad,FDFL-CAGrad,0.5,high,0.35,0.8,CAGrad
